,Player,Year,Team,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,Rk,Salary Current,Salary Next,contract_year
1,Aaron Brooks,2017,IND,64,36,28,13.6,4953.5,0.94,0.51,0.43,4.14,4.35,3.92,274,$2700000,#N/A,1
2,Aaron Gordon,2017,ORL,80,29,51,28.7,11234.2,2.13,1.14,0.99,4.45,4.85,4.06,210,$4351320,$5504420,0
3,Aaron Gordon,2018,ORL,58,19,39,32.9,12792,2.42,1.35,1.07,4.46,5.05,3.88,188,$5504420,#N/A,1
4,Aaron Gordon,2019,ORL,76,38,38,33.8,13509.5,2.56,1.44,1.12,4.28,4.75,3.79,40,$21590909,$19863636,0
5,Aaron Gordon,2020,ORL,58,28,30,33,12995.1,2.46,1.36,1.1,4.2,4.65,3.76,53,$19863636,$18136364,0
6,Aaron Harrison,2017,CHA,5,2,3,3.3,1180.8,0.22,0.12,0.1,3.98,4.19,3.75,444,$874636,#N/A,1
7,Aaron Holiday,2019,IND,50,31,19,12.9,5337.1,1.01,0.52,0.49,4.35,4.58,4.12,345,$1911960,$2239200,0
8,Aaron Holiday,2020,IND,58,36,22,23.6,9316.3,1.76,0.93,0.84,4.2,4.43,3.98,326,$2239200,$2345640,0
9,Abdel Nader,2018,BOS,47,32,15,11.1,4381.9,0.83,0.44,0.39,4.5,4.61,4.39,431,$1167333,$1378242,0
10,Abdel Nader,2019,OKC,60,37,23,11.4,4879.3,0.92,0.47,0.45,4.47,4.7,4.27,422,$1378242,$1618520,0
11,Abdel Nader,2020,OKC,48,33,15,15.8,6426.3,1.22,0.63,0.58,4.33,4.58,4.11,393,$1618520,$1752950,0
12,Admiral Schofield,2020,WAS,27,9,18,10.8,4174,0.79,0.42,0.37,4.15,4.57,3.76,447,$898310,$1517981,0
13,Adreian Payne,2017,MIN,18,5,13,7.5,2840.5,0.54,0.29,0.25,4.32,4.65,3.9,307,$2022240,#N/A,1
18,Al Horford,2017,BOS,68,46,22,32.3,11286.5,2.14,1.12,1.02,3.99,4.2,3.77,7,$26540100,$27734405,0
19,Al Horford,2018,BOS,69,44,25,31.5,11152.8,2.11,1.13,0.99,4.03,4.3,3.76,11,$27734405,$28928710,0
20,Al Horford,2019,BOS,68,41,27,29,10788.6,2.04,1.08,0.96,3.98,4.35,3.64,13,$28928710,$30123015,0
21,Al Horford,2020,PHI,60,35,25,30.8,11193.5,2.12,1.17,0.95,3.94,4.23,3.63,24,$28000000,$27500000,0
22,Al Jefferson,2017,IND,65,33,32,14.2,4898,0.93,0.49,0.44,3.93,3.97,3.89,105,$10230179,$9769821,0
23,Al Jefferson,2018,IND,36,17,19,13.4,4732.9,0.9,0.48,0.41,4.02,4.12,3.89,126,$9769821,$10000000,0
24,Alan Anderson,2017,LAC,30,20,10,10.3,3706.6,0.7,0.35,0.35,4.12,3.99,4.25,371,$1315448,#N/A,1
25,Alan Williams,2017,PHX,47,11,36,15.1,5514.8,1.04,0.54,0.51,4.21,4.55,3.89,437,$874636,#N/A,1
26,Alan Williams,2018,PHX,5,1,4,14.1,5076.2,0.96,0.52,0.44,4.1,4.3,3.9,175,$6000000,$5520000,0
27,Alec Burks,2017,UTA,42,26,16,15.6,5751.6,1.09,0.58,0.51,4.22,4.33,4.07,107,$10154495,$10845506,0
