"","name","height","weight","season","age.x","team.x","lg","pos","g","mp","per","ts","x3p_ar","f_tr","orb","drb","trb","ast","stl","blk","tov","usg","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","x","team.y","gp.x","w.x","l.x","min.x","dist_miles","avg_speed","rk","salary_current","contract_year","team.x.x","age.y","gp.y","min.y","box_outs","off_box_outs","def_box_outs","team_reb_on_box_outs","player_reb_on_box_outs","x_box_outs_off","x_box_outs_def","x_team_reb_when_box_out","x_player_reb_when_box_out","team.y.y","w.y","l.y","min","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"1","Alex_Abrines",78,200,"2017",23,"OKC","NBA","SG",68,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.096,-1.3,-0.4,-1.6,0.1,31,"OKC",68,37,31,15.5,1.12,4.38,169,5994764,0,"OKC",24,75,15.1,0.9,0.1,0.8,0.5,0.1,7.5,92.5,82.2,11.1,"OKC",42,31,15.1,4.8,15,9.5,0.5,1.92,1.14,0.318,0.2,0,0.4,0.667,0,0.667
"2","Alex_Abrines",78,200,"2018",24,"OKC","NBA","SG",75,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,0.094,-1.9,0.4,-1.5,0.1,32,"OKC",73,42,31,15.1,1.1,4.35,183,5725000,0,"OKC",25,31,19,1.4,0,1.4,0.7,0.1,0,100,74.2,9.7,"OKC",21,10,19,5.3,16.5,12.4,0.5,1.89,1.12,0.322,0.3,0,0.1,0.5,0,0
"8","Quincy_Acy",79,240,"2017",26,"TOT","NBA","PF",38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,0.5,0.5,0.9,0.082,-1.5,-0.6,-2.1,0,1331,"BKN",38,11,27,14.7,1.03,4.21,398,1050961,0,"BKN",27,70,19.4,5.2,0.5,4.7,2.4,0.5,8.8,91.2,84.7,17.3,"BKN",25,43,19.5,5.9,32.8,20,0.7,1.27,0.25,0.18,0.5,0.2,0.9,0.429,0.357,0.629
"9","Quincy_Acy",79,240,"2018",27,"BRK","NBA","PF",70,1359,8.2,0.525,0.8,0.164,3.1,17.1,10,6,1.2,1.6,13.3,14.4,-0.1,1.1,1,0.036,-2.6,0.1,-2.5,-0.2,1332,"BKN",68,25,43,19.4,1.34,4.16,331,1709538,1,"PHX",28,10,12.3,3.7,0.4,3.3,1.6,0.4,10.8,89.2,88.9,22.2,"PHX",2,8,12.3,1.7,19.7,10.1,0.4,1.27,0.25,0.086,0.7,0.1,1.3,0.286,0,0.538
"15","Steven_Adams",83,265,"2017",23,"OKC","NBA","C",80,2389,16.5,0.589,0.002,0.392,13,15.4,14.2,5.4,1.8,2.6,16,16.2,3.3,3.1,6.5,0.13,-0.2,0,-0.2,1.1,1502,"OKC",80,47,33,29.9,2.03,4.08,251,3140517,0,"OKC",24,76,32.7,11.5,5.8,5.7,5.9,2.4,50.7,49.3,82.1,33.3,"OKC",43,32,32.8,13.9,40,26,0.9,1.41,0.34,0.348,5,2,13,0.614,0.682,0.812
"16","Steven_Adams",83,265,"2018",24,"OKC","NBA","C",76,2487,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3,9.7,0.187,1.7,-0.6,1.1,2,1503,"OKC",75,43,32,32.8,2.23,4.09,33,22471910,0,"OKC",25,80,33.4,8.9,2.8,6.1,4.5,1.8,31.1,68.9,86.1,34.2,"OKC",46,33,33.3,13.8,45,25.2,1.3,1.69,0.52,0.307,5.1,5,12.6,0.515,0.595,0.762
"17","Steven_Adams",83,265,"2019",25,"OKC","NBA","C",80,2669,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2,2.4,12.6,16.4,5.1,4,9.1,0.163,0.7,0.4,1.1,2.1,1504,"OKC",79,46,33,33.3,2.42,4.09,28,24157304,0,"OKC",26,58,27,5,1.2,3.8,2.9,1.4,23.4,76.6,88.9,44.2,"OKC",37,21,27,10.9,55.6,29.1,1.7,1.81,0.4,0.196,5.9,3.7,10.5,0.449,0.567,0.73
"34","Cole_Aldrich",83,250,"2017",28,"MIN","NBA","C",62,531,12.7,0.549,0,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,0.116,-2.3,1.5,-0.8,0.2,263,"MIN",62,23,39,8.6,0.6,4.2,138,7643979,0,"MIN",29,21,2.3,0.6,0.1,0.6,0.2,0.1,7.7,92.3,100,60,"MIN",14,7,2.3,0.6,3.8,2,0.1,1.47,0.28,0.15,0.4,0.1,0.8,0.333,0.667,0.563
"46","LaMarcus_Aldridge",83,260,"2017",31,"SAS","NBA","PF",72,2335,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1,3,7.7,24.5,3.5,3.7,7.2,0.149,0.7,0.1,0.8,1.7,1024,"SAS",71,52,19,32.4,2.18,4.05,27,20575005,0,"SAS",32,75,33.4,9.4,2.4,7,5,2,25.4,74.6,86.5,35.8,"SAS",45,30,33.4,23.1,61,45.2,2.2,2.12,0.91,0.379,4,13.9,8.7,0.515,0.577,0.957
"47","LaMarcus_Aldridge",83,260,"2018",32,"SAS","NBA","C",75,2509,25,0.57,0.068,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,7.4,3.5,10.9,0.209,4.3,-0.4,3.9,3.7,1025,"SAS",75,45,30,33.5,2.28,4.11,37,21461010,0,"SAS",33,81,33.2,9.8,1.7,8.1,5.2,1.9,17.3,82.7,86.3,30.9,"SAS",48,33,33.2,21.3,56.2,39.5,1.9,2.02,0.81,0.379,3.6,12.4,8.7,0.534,0.657,0.984
