"","name","height","weight","season","age","team.x","lg","pos","g","mp","per","ts","x3p_ar","f_tr","orb","drb","trb","ast","stl","blk","tov","usg","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","x","team.y","gp","w","l","min","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year"
"1","Alex_Abrines",78,200,"2017",23,"OKC","NBA","SG",68,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.096,-1.3,-0.4,-1.6,0.1,31,"OKC",68,37,31,15.5,5935.7,1.12,0.6,0.53,4.38,4.7,4.07,169,5994764,5725000,0
"2","Alex_Abrines",78,200,"2018",24,"OKC","NBA","SG",75,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,0.094,-1.9,0.4,-1.5,0.1,32,"OKC",73,42,31,15.1,5785.4,1.1,0.55,0.54,4.35,4.48,4.24,183,5725000,5455236,0
"3","Alex_Abrines",78,200,"2019",25,"OKC","NBA","SG",31,588,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-3.7,0.4,-3.3,-0.2,33,"OKC",31,21,10,19,7906.8,1.5,0.78,0.72,4.38,4.75,4.04,200,5455236,0,1
"8","Quincy_Acy",79,240,"2017",26,"TOT","NBA","PF",38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,0.5,0.5,0.9,0.082,-1.5,-0.6,-2.1,0,1331,"BKN",38,11,27,14.7,5419.8,1.03,0.55,0.47,4.21,4.58,3.84,398,1050961,1178992,0
"9","Quincy_Acy",79,240,"2018",27,"BRK","NBA","PF",70,1359,8.2,0.525,0.8,0.164,3.1,17.1,10,6,1.2,1.6,13.3,14.4,-0.1,1.1,1,0.036,-2.6,0.1,-2.5,-0.2,1332,"BKN",68,25,43,19.4,7096.9,1.34,0.75,0.6,4.16,4.51,3.79,331,1709538,0,1
"15","Steven_Adams",83,265,"2017",23,"OKC","NBA","C",80,2389,16.5,0.589,0.002,0.392,13,15.4,14.2,5.4,1.8,2.6,16,16.2,3.3,3.1,6.5,0.13,-0.2,0,-0.2,1.1,1502,"OKC",80,47,33,29.9,10721.5,2.03,1.03,1,4.08,4.33,3.86,251,3140517,22471910,0
"16","Steven_Adams",83,265,"2018",24,"OKC","NBA","C",76,2487,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3,9.7,0.187,1.7,-0.6,1.1,2,1503,"OKC",75,43,32,32.8,11779.2,2.23,1.1,1.13,4.09,4.22,3.98,33,22471910,24157303,0
"17","Steven_Adams",83,265,"2019",25,"OKC","NBA","C",80,2669,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2,2.4,12.6,16.4,5.1,4,9.1,0.163,0.7,0.4,1.1,2.1,1504,"OKC",79,46,33,33.3,12785.5,2.42,1.19,1.23,4.09,4.34,3.88,28,24157304,25842697,0
"18","Steven_Adams",83,265,"2020",26,"OKC","NBA","C",58,1564,20.8,0.605,0.007,0.413,14.4,23.8,19.3,13.5,1.6,3.5,14.1,17.2,3.7,2.5,6.2,0.19,2.1,1.1,3.2,2,1505,"OKC",58,37,21,27,10228.9,1.94,1.04,0.9,4.02,4.32,3.72,41,25842697,27528090,0
"26","Alexis_Ajinca",86,248,"2017",28,"NOP","NBA","C",39,584,12.9,0.529,0.022,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,0,0.9,1,0.08,-4,0.7,-3.3,-0.2,39,"NOP",39,15,24,15,5514.1,1.04,0.55,0.49,4.2,4.62,3.8,205,4600000,4900000,0
