"","x","name","season","team.x","gp.x","w","l","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","age","gp.y","min.y","box_outs","off_box_outs","def_box_outs","team_reb_on_box_outs","player_reb_on_box_outs","x_box_outs_off","x_box_outs_def","x_team_reb_when_box_out","x_player_reb_when_box_out"
"1",1,"Aaron_Brooks","2017","IND",64,36,28,13.6,4953.5,0.94,0.51,0.43,4.14,4.35,3.92,274,2700000,0,1,"MIN",33,32,5.9,0.2,0,0.2,0.1,0,0,100,75,25
"2",2,"Aaron_Gordon","2017","ORL",80,29,51,28.7,11234.2,2.13,1.14,0.99,4.45,4.85,4.06,210,4351320,5504420,0,"ORL",22,58,32.9,2.7,0.2,2.5,1.3,0.4,7,93,85.2,23.9
"3",3,"Aaron_Gordon","2018","ORL",58,19,39,32.9,12792,2.42,1.35,1.07,4.46,5.05,3.88,188,5504420,0,1,"ORL",23,78,33.8,2.4,0.2,2.2,1.1,0.4,9.1,90.9,85.6,28.8
"4",4,"Aaron_Gordon","2019","ORL",76,38,38,33.8,13509.5,2.56,1.44,1.12,4.28,4.75,3.79,40,21590909,19863636,0,"ORL",24,58,33,1.1,0.2,0.9,0.7,0.4,21.5,78.5,95.1,51.2
"6",6,"Aaron_Harrison","2017","CHA",5,2,3,3.3,1180.8,0.22,0.12,0.1,3.98,4.19,3.75,444,874636,0,1,"DAL",23,9,25.9,0.8,0,0.8,0.7,0,0,100,85.7,0
"7",7,"Aaron_Holiday","2019","IND",50,31,19,12.9,5337.1,1.01,0.52,0.49,4.35,4.58,4.12,345,1911960,2239200,0,"IND",23,58,23.6,0.9,0,0.8,0.6,0.1,4,96,90.2,12.2
"9",9,"Abdel_Nader","2018","BOS",47,32,15,11.1,4381.9,0.83,0.44,0.39,4.5,4.61,4.39,431,1167333,1378242,0,"OKC",25,61,11.4,0.8,0,0.8,0.4,0.2,0,100,79.4,29.4
"10",10,"Abdel_Nader","2019","OKC",60,37,23,11.4,4879.3,0.92,0.47,0.45,4.47,4.7,4.27,422,1378242,1618520,0,"OKC",26,48,15.8,0.8,0,0.8,0.4,0.1,0,100,87,26.1
"13",13,"Adreian_Payne","2017","MIN",18,5,13,7.5,2840.5,0.54,0.29,0.25,4.32,4.65,3.9,307,2022240,0,1,"ORL",27,5,8.5,2.2,0.8,1.4,1.6,0.4,36.4,63.6,100,25
"14",18,"Al_Horford","2017","BOS",68,46,22,32.3,11286.5,2.14,1.12,1.02,3.99,4.2,3.77,7,26540100,27734405,0,"BOS",32,72,31.6,6.8,0.5,6.3,3.5,1.3,7.3,92.7,90.4,33.3
