"","x","name","season","team.x","gp.x","w.x","l.x","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","gp.y","w.y","l.y","min.y","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"1",1,"Aaron_Brooks","2017","IND",64,36,28,13.6,4953.5,0.94,0.51,0.43,4.14,4.35,3.92,274,2700000,0,1,"MIN",32,19,13,5.9,2.3,12.6,4.1,1.1,5.25,5.14,0.186,0,0,0.1,0,0,0
"2",2,"Aaron_Gordon","2017","ORL",80,29,51,28.7,11234.2,2.13,1.14,0.99,4.45,4.85,4.06,210,4351320,5504420,0,"ORL",58,19,39,32.9,17.6,59.9,31.8,2.4,2.44,1.65,0.294,1.8,2.3,3.9,0.673,0.458,0.974
"3",3,"Aaron_Gordon","2018","ORL",58,19,39,32.9,12792,2.42,1.35,1.07,4.46,5.05,3.88,188,5504420,0,1,"ORL",76,38,38,33.8,16.2,54.5,32.7,2.4,2.62,1.76,0.297,2.6,2.9,4.3,0.424,0.511,0.906
"4",4,"Aaron_Gordon","2019","ORL",76,38,38,33.8,13509.5,2.56,1.44,1.12,4.28,4.75,3.79,40,21590909,19863636,0,"ORL",58,28,30,33,14.4,53.1,29.8,2.6,2.88,1.9,0.27,1.8,3.1,4.4,0.383,0.519,1.004
"6",6,"Aaron_Harrison","2017","CHA",5,2,3,3.3,1180.8,0.22,0.12,0.1,3.98,4.19,3.75,444,874636,0,1,"DAL",9,2,7,25.9,6.7,29.2,17.7,1.1,2.35,1.63,0.228,1,0,0.3,0,0,1.333
"7",7,"Aaron_Holiday","2019","IND",50,31,19,12.9,5337.1,1.01,0.52,0.49,4.35,4.58,4.12,345,1911960,2239200,0,"IND",58,36,22,23.6,9.4,40.4,17.5,3,4.47,4.32,0.233,0.1,0,0.4,1,0,0.524
"9",9,"Abdel_Nader","2018","BOS",47,32,15,11.1,4381.9,0.83,0.44,0.39,4.5,4.61,4.39,431,1167333,1378242,0,"OKC",60,37,23,11.4,4,10.3,6.5,0.4,2.18,1.53,0.387,0.1,0,0.3,1.125,0,1.2
"10",10,"Abdel_Nader","2019","OKC",60,37,23,11.4,4879.3,0.92,0.47,0.45,4.47,4.7,4.27,422,1378242,1618520,0,"OKC",48,33,15,15.8,6,15.4,10.8,0.5,2.05,1.42,0.389,0.3,0,0.4,0.769,0,0.842
"13",13,"Adreian_Payne","2017","MIN",18,5,13,7.5,2840.5,0.54,0.29,0.25,4.32,4.65,3.9,307,2022240,0,1,"ORL",5,0,5,8.5,4.2,12.4,6.8,0.4,1.77,0.68,0.339,1,0.6,1,0.2,0.667,1
"14",18,"Al_Horford","2017","BOS",68,46,22,32.3,11286.5,2.14,1.12,1.02,3.99,4.2,3.77,7,26540100,27734405,0,"BOS",69,44,25,31.5,12.8,63.5,40,2.3,2.2,1.06,0.201,3.1,5.2,3.8,0.409,0.478,0.693
"15",19,"Al_Horford","2018","BOS",69,44,25,31.5,11152.8,2.11,1.13,0.99,4.03,4.3,3.76,11,27734405,28928710,0,"BOS",68,41,27,29,13.6,57,37.4,1.7,1.78,0.76,0.239,4.1,3.7,5.2,0.366,0.528,0.803
"16",20,"Al_Horford","2019","BOS",68,41,27,29,10788.6,2.04,1.08,0.96,3.98,4.35,3.64,13,28928710,30123015,0,"PHI",60,35,25,30.8,12,56.3,36.9,1.7,1.82,0.65,0.214,5.2,4.4,3.7,0.174,0.547,0.713
"18",22,"Al_Jefferson","2017","IND",65,33,32,14.2,4898,0.93,0.49,0.44,3.93,3.97,3.89,105,10230179,9769821,0,"IND",36,17,19,13.4,7,26.7,15.9,0.8,1.76,0.42,0.262,2.4,3.8,2,0.424,0.765,0.877
