Name,Height,Weight,Season,Age,Team,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Alex Abrines,78,200,2016-17,23,OKC,NBA,SG,68,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.096,-1.3,-0.4,-1.6,0.1
Alex Abrines,78,200,2017-18,24,OKC,NBA,SG,75,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,0.094,-1.9,0.4,-1.5,0.1
Alex Abrines,78,200,2018-19,25,OKC,NBA,SG,31,588,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-3.7,0.4,-3.3,-0.2
Quincy Acy,79,240,2012-13,22,TOR,NBA,PF,29,342,15.9,0.632,0.027,0.507,10.3,16.6,13.4,5.2,2,3.5,15.6,14.7,0.7,0.4,1.1,0.157,-1,1,0.1,0.2
Quincy Acy,79,240,2013-14,23,TOT,NBA,SF,63,847,10.1,0.52,0.106,0.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,0.6,0.9,1.5,0.086,-2.5,0.8,-1.7,0.1
Quincy Acy,79,240,2014-15,24,NYK,NBA,PF,68,1287,11.9,0.533,0.181,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,1,0.7,1.7,0.063,-2.1,-1,-3.1,-0.3
Quincy Acy,79,240,2015-16,25,SAC,NBA,PF,59,876,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10,13.1,1.8,0.7,2.5,0.137,-0.2,0.2,-0.1,0.4
Quincy Acy,79,240,2016-17,26,TOT,NBA,PF,38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,0.5,0.5,0.9,0.082,-1.5,-0.6,-2.1,0
Quincy Acy,79,240,2017-18,27,BRK,NBA,PF,70,1359,8.2,0.525,0.8,0.164,3.1,17.1,10,6,1.2,1.6,13.3,14.4,-0.1,1.1,1,0.036,-2.6,0.1,-2.5,-0.2
Quincy Acy,79,240,2018-19,28,PHO,NBA,PF,10,123,2.9,0.379,0.833,0.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,-0.1,0,-0.1,-0.022,-7.6,-0.5,-8.1,-0.2
Jaylen Adams,74,190,2018-19,22,ATL,NBA,PG,34,428,7.6,0.474,0.673,0.082,2.6,12.3,7.4,19.8,1.5,1,19.7,13.5,-0.1,0.2,0.1,0.011,-3.8,-0.5,-4.3,-0.2
Steven Adams,83,265,2013-14,20,OKC,NBA,C,81,1197,11.2,0.541,0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,0.9,1.9,2.9,0.114,-3.1,0.9,-2.2,-0.1
Steven Adams,83,265,2014-15,21,OKC,NBA,C,70,1771,14.1,0.549,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,1.9,2.2,4.1,0.111,-1.5,0.2,-1.3,0.3
Steven Adams,83,265,2015-16,22,OKC,NBA,C,80,2014,15.5,0.621,0,0.46,12.5,16.1,14.4,4.3,1,3.3,14.1,12.6,4.2,2.3,6.5,0.155,0,0.2,0.2,1.1
Steven Adams,83,265,2016-17,23,OKC,NBA,C,80,2389,16.5,0.589,0.002,0.392,13,15.4,14.2,5.4,1.8,2.6,16,16.2,3.3,3.1,6.5,0.13,-0.2,0,-0.2,1.1
Steven Adams,83,265,2017-18,24,OKC,NBA,C,76,2487,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3,9.7,0.187,1.7,-0.6,1.1,2
Steven Adams,83,265,2018-19,25,OKC,NBA,C,80,2669,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2,2.4,12.6,16.4,5.1,4,9.1,0.163,0.7,0.4,1.1,2.1
Steven Adams,83,265,2019-20,26,OKC,NBA,C,58,1564,20.8,0.605,0.007,0.413,14.4,23.8,19.3,13.5,1.6,3.5,14.1,17.2,3.7,2.5,6.2,0.19,2.1,1.1,3.2,2
Bam Adebayo,NA,NA,2017-18,20,MIA,NBA,C,69,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.148,-1.1,0.7,-0.4,0.6
