Player,Season,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
Zaza Pachulia,2016,GSW,70,58,12,18.1,6.1,30.3,17.9,0.8,1.57,0.48,0.201,2.8,2,5.1,0.362,0.259,0.635
Zach Randolph,2016,MEM,73,38,35,24.5,14.1,45.5,31.2,1.6,2.16,0.83,0.309,3.3,8.9,5.8,0.342,0.521,0.981
Zach LaVine,2016,MIN,47,16,31,37.2,18.9,57.9,40.8,3,3.1,2.24,0.327,0.8,0,0.9,1.083,0,0.786
Yogi Ferrell,2016,DAL,46,18,28,26,10,56.9,21.2,5,5.3,5.3,0.177,0.5,0.1,0.5,0.455,0.6,0.783
Wilson Chandler,2016,DEN,70,34,36,30.9,15.7,48.4,31,2,2.46,1.53,0.323,0.9,1.5,3.1,0.59,0.552,0.86
Willy Hernangomez,2016,NYK,72,27,45,18.4,8.2,38.6,21.2,1,1.56,0.34,0.211,3.8,2.6,5.6,0.462,0.267,0.815
Willie Reed,2016,MIA,71,39,32,14.5,5.3,14.4,10.2,0.4,1.52,0.57,0.365,1.8,1.2,4.1,0.5,0.265,0.911
Willie Cauley-Stein,2016,SAC,75,29,46,18.9,8.1,27.4,16.8,0.9,1.89,0.64,0.298,4.7,2.1,5.3,0.42,0.361,0.864
Will Barton,2016,DEN,59,30,29,28.5,13.7,45.8,28.2,2.7,3.55,2.95,0.3,0.7,0.2,1.5,0.7,0.417,0.824
Wesley Matthews,2016,DAL,72,28,44,34.1,13.4,50.3,36.1,2.1,2.48,1.52,0.268,0.9,2.5,0.7,0.371,0.345,0.811
Wesley Johnson,2016,LAC,68,40,28,11.9,2.7,18.1,8.8,0.4,1.42,0.4,0.151,0.2,0.1,0.5,0.4,0,0.667
Wayne Selden,2016,MEM,14,6,8,16.9,5.1,17.7,13.4,0.7,2.3,1.66,0.286,0.8,0,0.3,0.182,0,0.75
Wayne Ellington,2016,MIA,62,35,27,24.2,10.5,27.4,21.5,0.8,1.71,0.85,0.381,0.5,0,0.3,0.276,1,0.526
Wade Baldwin IV,2016,MEM,33,18,15,12.3,3.2,27.7,8.7,2.6,5.59,5.2,0.116,0.4,0.1,0.4,0.308,0,0.308
Vince Carter,2016,MEM,73,36,37,24.7,8,34.5,23.7,1.3,2.18,1.12,0.233,0.9,1,1,0.319,0.542,0.568
Victor Oladipo,2016,OKC,67,39,28,33.2,15.9,46.3,29.4,2.4,3.06,2.5,0.344,1,0.3,1.6,0.507,0.476,0.981
Udonis Haslem,2016,MIA,16,6,10,8.1,1.9,9.3,6.1,0.3,1.71,0.59,0.209,1.1,0.4,1.6,0.333,0,0.84
Tyus Jones,2016,MIN,60,23,37,12.9,3.5,25.7,10.5,2,4.64,4.16,0.136,0.1,0,0.3,0.286,0,0.737
Tyson Chandler,2016,PHX,45,14,31,27.3,8.3,39.6,18.6,0.9,1.38,0.3,0.21,2.9,1,7.9,0.333,0.043,0.89
Tyreke Evans,2016,SAC,40,17,23,19.7,10.3,44.1,21.2,3.4,4.63,4.17,0.233,0.4,0.6,0.7,0.471,0.273,0.714
Tyler Zeller,2016,BOS,51,32,19,10.3,3.5,15.7,11.3,0.4,1.52,0.45,0.223,1.3,0.5,2.5,0.441,0.192,0.724
Tyler Ulis,2016,PHX,59,14,45,18.7,7.4,44.5,15.7,3.6,4.85,5.22,0.166,0.3,0,0.2,0.118,0.5,0.7
Tyler Johnson,2016,MIA,73,35,38,29.8,13.7,56.8,31.4,3.2,3.42,3.07,0.242,1.1,0.1,1.3,0.427,0.167,0.731
Tyler Ennis,2016,LAL,53,28,25,11.1,4.3,24.8,10.1,1.8,4.3,3.85,0.173,0.2,0,0.2,0.667,0,0.615
Ty Lawson,2016,SAC,69,25,44,25.1,9.9,60.8,23.4,5.1,5.01,4.62,0.162,0.4,0.1,0.9,0.385,0.5,0.403
Troy Williams,2016,HOU,30,19,11,18.6,6.2,21.4,14.4,0.7,1.91,1,0.288,0.4,0,1.3,1.182,2,0.75
Troy Daniels,2016,MEM,67,33,34,17.7,8.2,23.2,17.1,0.7,1.86,1.29,0.354,0.6,0.1,0.4,0.189,0,0.552
Tristan Thompson,2016,CLE,78,50,28,30,8.1,38.3,19.1,1,1.53,0.43,0.211,3.7,0.2,7.5,0.516,0.375,0.731
Trey Lyles,2016,UTA,71,43,28,16.3,6.2,32.2,20.9,1,1.86,0.75,0.192,0.7,1,0.9,0.34,0.211,0.734
Trey Burke,2016,WAS,57,35,22,12.3,5,26.6,11,2.2,4.94,4.98,0.188,0.4,0,0.2,0.2,0,0.8
Trevor Booker,2016,BKN,70,18,52,24.8,10,58.1,30.7,1.9,1.93,1,0.172,2.4,3,4.3,0.494,0.405,0.698
Trevor Ariza,2016,HOU,80,53,27,34.7,11.7,44,28.7,1.3,1.79,0.87,0.266,0.8,0.2,1.3,0.841,0.143,0.757
Treveon Graham,2016,CHA,27,10,17,7,2.1,7.4,5.1,0.3,2.13,1.28,0.286,0.1,0.1,0.2,0.667,0.333,0.333
Tony Snell,2016,MIL,80,42,38,29.2,8.5,26.8,18.7,0.8,1.78,1.04,0.319,0.4,0.1,0.5,0.345,0.429,0.816
Tony Parker,2016,SAS,62,46,16,25.1,10.1,60.2,22.1,5.4,5.37,5.68,0.167,0.5,0,0.4,0.333,0,0.222
Tony Allen,2016,MEM,71,36,35,27,9.1,35.6,21.1,1.7,2.95,2.24,0.255,1,0.3,4.8,0.623,0.522,0.775
Toney Douglas,2016,MEM,24,15,9,16.4,4.9,38.3,13,3.6,5.71,6.1,0.127,0.5,0,0.8,0.917,0,0.833
Tomas Satoransky,2016,WAS,57,33,24,12.6,2.7,20.6,10,1.4,4.05,3.71,0.131,0.2,0.1,0.7,0.4,1.667,0.395
Tobias Harris,2016,DET,82,37,45,31.3,16.1,57.2,31.9,2,2.15,1,0.282,1.5,1.8,1.5,0.756,0.642,1.063
Timothe Luwawu-Cabarrot,2016,PHI,69,23,46,17.2,6.4,23.2,15.8,0.8,1.94,1.27,0.278,0.4,0,1,0.88,0,0.735
Timofey Mozgov,2016,LAL,54,16,38,20.4,7.4,28.2,18.6,0.8,1.7,0.4,0.264,2.9,2.2,5.6,0.487,0.408,0.626
Tim Quarterman,2016,POR,16,6,10,5,1.9,8.8,4.6,0.6,4.38,3.99,0.221,0.1,0,0.2,2,0,1.333
Tim Hardaway Jr.,2016,ATL,79,42,37,27.3,14.5,40.7,27.1,1.7,2.55,1.87,0.355,0.6,0.2,1.2,0.587,0.333,0.806
Tim Frazier,2016,NOP,65,26,39,23.5,7.1,57.2,21.5,4.4,4.64,4.34,0.125,0.4,0.1,1.1,0.345,0.333,0.464
Tiago Splitter,2016,PHI,8,1,7,9.5,4.9,18.3,13.5,0.5,1.67,0.6,0.267,1.6,1.5,3.4,0.231,0.5,0.741
Thon Maker,2016,MIL,57,31,26,9.9,4,15.5,7.5,0.4,1.53,0.33,0.257,1,0.2,1.8,0.276,0.538,0.713
Thomas Robinson,2016,LAL,48,15,33,11.7,5,23,11.8,0.7,1.94,0.87,0.218,1.5,0.6,2.9,0.543,0.286,0.672
Thaddeus Young,2016,IND,73,40,33,30.3,11.1,50.9,26.5,1.4,1.64,0.55,0.218,3.4,2.1,5.7,0.4,0.48,0.877
Thabo Sefolosha,2016,ATL,62,32,30,25.7,7.2,37.6,24.2,1.4,2.23,1.31,0.191,1.1,0.3,2.2,0.478,0.25,0.679
Terry Rozier,2016,BOS,74,47,27,17.1,5.5,37.3,15.5,2.6,4.2,4.09,0.149,0.3,0,0.7,0.5,0,0.42
Terrence Ross,2016,ORL,77,38,39,25.1,11.1,28,19.1,1,2.1,1.39,0.396,0.4,0.1,0.4,0.625,1.2,0.571
Terrence Jones,2016,MIL,54,20,34,23.5,10.8,38.6,23.1,1.3,2.03,0.96,0.28,1.9,2.1,3.1,0.515,0.522,0.994
Taurean Prince,2016,ATL,59,28,31,16.6,5.7,20.8,14.8,0.8,2.25,1.32,0.272,0.3,0.1,0.8,0.85,0.333,0.766
Tarik Black,2016,LAL,67,24,43,16.3,5.7,26.1,14,0.7,1.55,0.36,0.219,2,1.2,5.6,0.387,0.524,0.731
Taj Gibson,2016,OKC,78,41,37,25.5,10.8,49.6,27.5,1.3,1.59,0.46,0.219,3.2,4.6,5.6,0.514,0.609,0.797
T.J. Warren,2016,PHX,64,19,45,31.2,14.5,40.9,30.3,1.4,2.07,1.21,0.356,2.1,0.4,3.1,0.837,0.5,1.1
T.J. McConnell,2016,PHI,81,27,54,26.3,6.9,80,30.5,5.7,4.24,4.17,0.086,0.4,0.1,1.1,0.323,0,0.435
Steven Adams,2016,OKC,80,47,33,29.9,11.3,35.8,23,1,1.62,0.5,0.316,4.6,4.4,10.5,0.507,0.467,0.721
Steve Novak,2016,MIL,8,6,2,2.7,0.6,2.4,1.4,0.1,1.29,0.37,0.263,0,0,0,0,0,0
Stephen Zimmerman,2016,ORL,19,8,11,5.7,1.2,9.8,4.9,0.3,1.6,0.35,0.124,0.9,0.5,1.2,0.353,0.6,0.409
Stephen Curry,2016,GSW,79,65,14,33.4,25.3,78.2,32.9,5.3,4.06,3.83,0.324,1.4,0.3,2.2,0.564,0.391,0.686
Stanley Johnson,2016,DET,77,35,42,17.8,4.4,24.4,15.3,1,2.58,1.52,0.181,0.3,0.1,0.5,0.095,0.222,0.462
Spencer Hawes,2016,MIL,54,27,27,14.8,6.2,24.6,18.4,0.7,1.77,0.7,0.254,1.9,1.3,3,0.49,0.551,1.025
Spencer Dinwiddie,2016,BKN,58,13,45,22.6,7.2,43.6,17.2,3.2,4.43,3.84,0.165,0.3,0.1,0.4,0.313,0.375,0.435
Solomon Hill,2016,NOP,80,34,46,29.7,7,34.8,20.4,1.3,2.18,1.39,0.202,0.3,0.1,1.1,0.24,0.273,0.7
Skal Labissiere,2016,SAC,33,9,24,18.5,8.8,30.4,18.3,1,1.96,0.6,0.288,4.2,3.2,4,0.377,0.538,0.788
Shelvin Mack,2016,UTA,55,34,21,21.9,7.8,51.2,21.9,3.9,4.55,4.48,0.153,0.4,0.1,0.8,0.364,0.667,0.465
Sheldon Mac,2016,WAS,30,17,13,9.6,3,11.9,8.5,0.5,2.36,1.64,0.251,0.1,0,0.4,0,0,0.417
Shawn Long,2016,PHI,18,5,13,13,8.2,23.8,16.7,0.7,1.72,0.75,0.345,1.7,1.1,4.6,0.71,0.5,0.988
Shaun Livingston,2016,GSW,76,63,13,17.7,5.1,34.7,16.4,2.1,3.59,2.97,0.147,0.9,1,1.9,0.549,0.493,0.662
Shabazz Napier,2016,POR,53,26,27,9.7,4.1,21,8.9,1.7,4.9,4.43,0.196,0.2,0,0.2,0,0,0.231
Shabazz Muhammad,2016,MIN,78,29,49,19.4,9.9,18.7,15,0.7,2.09,1.13,0.528,0.4,1.9,2.7,1,0.747,0.9
Seth Curry,2016,DAL,69,29,40,29.1,12.8,52.1,26.3,4.1,4.71,4.41,0.246,0.4,0,0.3,0.2,0,0.722
Sergio Rodriguez,2016,PHI,68,24,44,22.3,7.8,64.6,24.6,4.9,4.58,4.77,0.121,0.2,0,0.4,0.5,0,0.214
Serge Ibaka,2016,TOR,79,37,42,30.7,14.8,49.2,30.3,1.3,1.6,0.33,0.302,2.1,3.8,4.5,0.534,0.575,0.863
Semaj Christon,2016,OKC,64,36,28,15.2,2.9,32,10.9,2.9,5.41,5.11,0.089,0.3,0,0.5,0.524,0,0.313
Sean Kilpatrick,2016,BKN,69,14,55,25.1,13.2,44.6,28.1,2.5,3.39,3.01,0.296,0.8,0.2,1,0.836,0.636,0.771
Sasha Vujacic,2016,NYK,42,14,28,9.7,3,18,11.1,0.9,3.02,2.52,0.164,0.2,0,0.2,0.556,0,0.1
Sam Dekker,2016,HOU,77,52,25,18.4,6.5,24.8,13.1,0.6,1.55,0.7,0.264,0.4,0.1,2,0.645,0,0.819
Salah Mejri,2016,DAL,72,28,44,12.3,2.9,16.1,7.4,0.4,1.5,0.33,0.181,1.3,0.2,2.9,0.464,1.125,0.731
Ryan Kelly,2016,ATL,16,6,10,6.9,1.6,11.1,6.7,0.3,1.5,0.48,0.141,0.8,0.4,0.6,0.538,0,0.9
Ryan Anderson,2016,HOU,72,50,22,29.4,13.6,40.2,26,1.1,1.57,0.67,0.339,0.4,0.9,2.2,0.355,0.642,0.827
Russell Westbrook,2016,OKC,81,46,35,34.6,31.6,94.8,29,9.2,5.83,5.22,0.333,2,1.9,2.6,0.595,0.68,0.698
Rudy Gobert,2016,UTA,81,51,30,33.9,14,58.6,32.8,1.5,1.49,0.3,0.24,5.8,0.8,11.3,0.375,0.333,0.919
Rudy Gay,2016,SAC,30,11,19,33.8,18.7,57.5,40.7,2.6,2.72,1.58,0.326,2.3,4.4,3,0.629,0.705,0.944
Roy Hibbert,2016,DEN,48,24,24,14.2,4.6,11.5,8.6,0.3,1.46,0.37,0.401,1,1.8,3.6,0.326,0.671,0.868
Ronnie Price,2016,PHX,14,4,10,9.6,1,17.3,7.9,1.1,3.8,3.32,0.058,0,0,0.1,0,0,0
Rondae Hollis-Jefferson,2016,BKN,77,19,58,22.6,8.5,46.6,23.7,1.6,2.1,1.36,0.183,1.4,1.3,3.4,0.635,0.469,0.752
Ron Baker,2016,NYK,52,14,38,16.5,4.1,33.7,15,2.3,4.04,3.8,0.123,0.5,0.2,0.5,0.593,0.333,0.5
Rodney Stuckey,2016,IND,39,17,22,17.9,7.2,37,17.3,2.7,4.39,3.74,0.195,0.4,0.2,0.3,0.588,0.444,1.273
Rodney McGruder,2016,MIA,78,40,38,25.2,6.4,26.6,18.3,0.9,2,1.29,0.239,0.7,0.1,2.2,0.491,0.333,0.685
Rodney Hood,2016,UTA,59,40,19,27,12.7,38.4,28.4,2.2,3.48,2.53,0.331,0.6,0.4,0.8,0.579,0.538,0.8
Robin Lopez,2016,CHI,81,40,41,28,10.4,32.8,24.1,0.9,1.56,0.48,0.315,3.8,2.8,7.2,0.44,0.482,0.698
Robert Covington,2016,PHI,67,27,40,31.6,12.9,49.6,31.9,1.3,1.56,0.66,0.26,1,0.1,2.4,0.477,0.6,0.809
Ricky Rubio,2016,MIN,75,28,47,32.9,11.1,82.4,24.6,7.9,5.75,5.53,0.135,0.6,0,0.9,0.255,1,0.188
Richaun Holmes,2016,PHI,57,16,41,20.9,9.8,35,25,0.8,1.44,0.4,0.28,5.2,0.7,6.1,0.334,0.15,0.848
Richard Jefferson,2016,CLE,79,50,29,20.4,5.7,22.4,14.3,0.7,1.81,0.53,0.254,0.7,0.2,1.3,0.429,0.154,0.775
Reggie Williams,2016,NOP,6,1,5,13.2,4.5,16,12.8,0.6,2.08,1.3,0.281,0,0.2,0.3,0,0,1
Reggie Jackson,2016,DET,52,23,29,27.4,14.5,66.6,17.6,6.4,5.75,5.69,0.217,0.1,0.1,0.5,0.8,0.667,0.481
Reggie Bullock,2016,DET,31,13,18,15.1,4.5,17.2,12.8,0.4,1.52,0.48,0.264,0.6,0,0.9,0.5,0,0.724
Raymond Felton,2016,LAC,80,50,30,21.2,6.7,42.1,18.8,3,4.23,3.78,0.16,0.2,0.1,0.5,0.389,0,0.415
Raul Neto,2016,UTA,40,24,16,8.6,2.5,15.7,6.3,1.1,4.33,4.17,0.159,0.1,0,0.3,1.4,0,1.3
Rashad Vaughn,2016,MIL,41,18,23,11.2,3.5,11.4,8.1,0.4,2.3,1.59,0.303,0.2,0,0.3,0.571,0,1.286
Randy Foye,2016,BKN,68,17,51,18.8,5.2,30.3,16.6,1.9,3.74,3.06,0.171,0.1,0.1,0.2,0,0,0.286
Ramon Sessions,2016,CHA,50,23,27,16.2,6.2,34.7,12.7,3,5.26,5.03,0.18,0.3,0,0.4,0.25,0,0.556
Rakeem Christmas,2016,IND,29,14,15,7.6,2,6.9,4.6,0.2,1.33,0.3,0.296,1,0.1,2,0.655,0.5,0.807
Rajon Rondo,2016,CHI,69,34,35,26.7,7.8,70.6,26.7,5.3,4.47,4.03,0.11,0.9,0.2,1.3,0.274,0.182,0.315
RJ Hunter,2016,CHI,3,2,1,3,0,3,2,0.1,2.66,1.78,0,0,0,0,0,0,0
Quinn Cook,2016,NOP,14,9,5,13.4,5.6,32.4,11.9,2.5,4.7,4.53,0.174,0,0.1,0.1,0,0,0
Quincy Acy,2016,BKN,38,11,27,14.7,5.8,23.4,14.3,0.5,1.36,0.38,0.25,0.5,0.4,1.4,0.5,0.765,0.808
Pierre Jackson,2016,DAL,9,4,5,9.4,3.9,23.4,8.2,2.1,5.43,5.4,0.166,0,0,0,0,0,0
Paul Zipser,2016,CHI,44,21,23,19.2,5.5,23.1,15,0.8,2.01,1.02,0.236,0.3,0.2,0.6,0.8,0.875,0.593
Paul Pierce,2016,LAC,25,16,9,11.1,3.2,16.7,10.1,0.5,1.86,0.65,0.194,0.1,0.4,0.2,1,0.8,0.4
Paul Millsap,2016,ATL,69,40,29,34,18.1,65,45.4,2.3,2.14,1.07,0.278,4.5,6.4,4.7,0.272,0.59,0.635
Paul George,2016,IND,74,39,35,35.9,23.9,61.8,41,3.2,3.15,2.28,0.386,1.9,2.3,1.6,0.518,0.467,0.678
Pau Gasol,2016,SAS,63,47,16,25.4,12.5,54.7,32.9,1.5,1.63,0.41,0.229,4.7,4,4.4,0.338,0.446,0.874
Patty Mills,2016,SAS,80,60,20,21.9,9.5,51.2,21.7,3.4,3.97,4.31,0.185,0.4,0,0.4,0.286,0,0.765
Patrick Patterson,2016,TOR,65,42,23,24.6,6.8,37.9,21.1,0.8,1.26,0.33,0.181,0.4,0.1,1.2,0.269,0.25,0.65
Patrick McCaw,2016,GSW,71,57,14,15.1,4,19,13.4,0.7,2.19,1.43,0.209,0.3,0,0.6,0.7,0,0.81
Patrick Beverley,2016,HOU,67,46,21,30.7,9.5,49.7,21.1,3.1,3.73,3.4,0.192,0.6,0.1,1.6,0.286,0,0.305
Patricio Garino,2016,ORL,5,2,3,8.6,0,8.2,6.4,0.3,1.93,1.41,0,0,0,0.2,0,0,0
Pat Connaughton,2016,POR,39,18,21,8.1,2.5,10.6,7.4,0.5,2.72,1.97,0.236,0.2,0.1,0.3,0.625,0,0.769
Pascal Siakam,2016,TOR,54,34,20,15.4,4.1,21.1,11,0.5,1.35,0.36,0.193,0.9,0.3,2.9,0.522,0.8,0.694
P.J. Tucker,2016,TOR,79,34,45,27.6,6.7,38.1,23.2,1.1,1.67,0.7,0.176,0.7,0.7,2.4,0.414,0.263,0.711
Otto Porter Jr.,2016,WAS,80,48,32,32.6,13.4,40.9,24,1.2,1.75,0.67,0.329,1.1,0.2,2.5,1.024,0.278,0.93
Omri Casspi,2016,MIN,36,12,24,17.8,5.2,31.2,17.8,0.8,1.57,0.57,0.166,0.8,0.2,2.4,0.933,0.857,0.835
Omer Asik,2016,NOP,31,12,19,15.6,2.7,22.5,10.3,0.5,1.27,0.23,0.122,1,0.2,3.8,0.4,0,0.661
Okaro White,2016,MIA,35,26,9,13.5,2.8,19.7,8.5,0.5,1.66,0.59,0.142,0.5,0.3,1.4,0.375,0.2,0.64
Norris Cole,2016,OKC,13,5,8,9.6,3.3,19.6,6.5,1.7,5.35,5.1,0.169,0,0,0.1,0,0,2
Norman Powell,2016,TOR,75,46,29,17.9,8.2,23.3,15.4,1.1,2.94,2.35,0.352,0.1,0,0.5,0.571,1.333,0.821
Noah Vonleh,2016,POR,74,38,36,17.1,4.4,23.4,10.5,0.6,1.62,0.6,0.189,1.1,0.9,3.5,0.398,0.377,0.615
